Table 8,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by City, 2010",,,,,,,,,,,
State,City,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
,Hueytown,24,0,1,8,15,674,35,615,24,
,Huntsville,"1,182",12,76,463,631,"9,768","2,677","6,230",861,21
,Ider,4,0,0,0,4,20,6,14,0,
,Irondale,51,1,1,11,38,627,179,378,70,
,Jacksons Gap,4,0,0,0,4,28,0,27,1,
,Jasper2,72,0,7,13,52,,,920,79,
,Jemison,7,0,0,0,7,114,7,96,11,
,Killen,6,0,0,0,6,48,3,43,2,
,Kimberly,0,0,0,0,0,19,4,15,0,
,Kinston,4,0,0,1,3,15,10,4,1,
,Lafayette,27,0,1,0,26,120,11,103,6,
,Lake View,1,0,0,0,1,42,5,33,4,
,Lanett,38,0,6,3,29,715,50,639,26,
,Leeds,63,2,2,33,26,514,105,379,30,
,Leesburg,4,0,0,1,3,39,6,30,3,
,Leighton,0,0,0,0,0,7,4,3,0,
,Level Plains,12,0,0,0,12,32,9,22,1,0
,Lexington,0,0,0,0,0,9,3,6,0,
,Lincoln,27,1,5,1,20,317,80,208,29,
,Linden,8,0,0,0,8,49,15,30,4,
,Lineville,21,0,0,0,21,28,2,26,0,
,Lipscomb,9,1,0,4,4,94,32,50,12,
,Littleville,6,0,0,0,6,32,5,27,0,
,Livingston,15,1,1,1,12,111,25,81,5,
,Lockhart,1,0,0,0,1,1,0,0,1,
,Louisville,1,0,0,0,1,6,3,3,0,
,Loxley,25,0,3,14,8,156,17,135,4,
,Lynn,0,0,0,0,0,4,1,2,1,
,Madison,82,1,12,26,43,925,166,712,47,
,Margaret,4,0,1,0,3,42,1,35,6,
,McIntosh,11,0,2,1,8,16,5,9,2,
,Mentone,0,0,0,0,0,2,0,2,0,
,Midfield,34,2,4,17,11,348,10,311,27,
,Midland City,9,0,0,1,8,70,14,47,9,
,Millbrook,33,0,3,15,15,445,106,336,3,
,Millry,1,0,0,0,1,3,0,3,0,
,"Mobile4,5","1,702",25,59,653,965,"14,179","3,873","9,279","1,027",77
,Monroeville,80,0,5,2,73,425,75,328,22,
,Montevallo2,15,0,1,3,11,,,187,11,
,Montgomery,797,25,55,401,316,"11,260","3,279","7,200",781,50
,Moody2,2,0,0,0,2,,,,28,
,Morris,4,0,0,0,4,44,1,38,5,
,Mosses,7,0,0,0,7,8,3,4,1,
,Moulton,10,0,0,4,6,80,5,70,5,
,Moundville,16,0,2,0,14,72,16,48,8,
,Mount Vernon,10,0,0,0,10,79,31,43,5,
,Muscle Shoals,50,0,5,7,38,614,134,460,20,
,Napier Field,3,0,0,0,3,12,5,6,1,
,New Brockton,12,0,0,2,10,28,14,12,2,
,New Site,0,0,0,0,0,0,0,0,0,
,Newville,0,0,0,0,0,5,5,0,0,
,Northport,171,2,8,41,120,970,273,649,48,
,Notasulga,3,0,0,0,3,59,3,53,3,
,Oakman,0,0,0,0,0,8,0,8,0,
,Odenville,11,0,2,0,9,80,13,55,12,
,Ohatchee,1,0,0,0,1,10,2,6,2,
,Oneonta,12,0,2,0,10,161,8,145,8,0
,Opelika,156,2,17,31,106,"1,492",430,"1,044",18,
,Opp,14,1,1,0,12,193,17,168,8,
,Orange Beach2,6,0,0,0,6,,,224,4,
,Owens Crossroads,1,0,0,0,1,26,1,21,4,
,Oxford2,,4,1,,56,"1,242",186,998,58,
,Ozark,72,1,5,7,59,452,5,426,21,
,Parrish,5,0,0,0,5,28,2,25,1,
,Pelham,32,1,2,7,22,457,65,374,18,
,Pell City,41,0,5,4,32,477,63,392,22,
,Phenix City,157,4,12,55,86,"1,628",561,944,123,
,Phil Campbell,1,0,0,1,0,21,0,20,1,
,Piedmont,19,0,3,2,14,193,53,128,12,
,Pine Hill,7,0,1,0,6,36,6,27,3,
,Pisgah,0,0,0,0,0,8,0,8,0,
,Pleasant Grove,11,0,1,2,8,164,26,130,8,
,Powell,0,0,0,0,0,13,9,4,0,
,Prattville,90,0,10,25,55,"1,296",203,"1,045",48,
,Priceville,0,0,0,0,0,53,1,47,5,
,Ragland,7,0,0,0,7,53,7,42,4,
,Rainbow City,11,0,2,1,8,253,52,195,6,
,Rainsville,2,0,0,0,2,108,7,91,10,
,Ranburne,3,0,0,0,3,13,7,5,1,
,Red Bay,7,0,1,0,6,57,1,52,4,
,Red Level,0,0,0,0,0,1,0,1,0,
,Reform2,13,0,2,1,10,,,35,3,
,River Falls,0,0,0,0,0,1,0,1,0,
,Riverside3,4,0,0,0,4,,7,,5,
,Roanoke,19,1,0,5,13,105,8,92,5,
,Robertsdale,17,1,3,2,11,220,28,185,7,
,Rockford,0,0,0,0,0,3,0,3,0,
,Rogersville,4,0,0,0,4,34,3,27,4,
,Samson,7,0,0,0,7,42,6,35,1,
,Saraland,53,0,4,8,41,547,86,439,22,
,Sardis City,1,0,0,0,1,64,5,53,6,
,Section,0,0,0,0,0,6,0,6,0,
,Sheffield,17,0,5,6,6,256,99,147,10,
,Silas,0,0,0,0,0,2,1,1,0,
,Silverhill,1,0,0,0,1,30,4,26,0,
,Skyline,0,0,0,0,0,14,2,12,0,
,Slocomb,9,0,0,1,8,23,1,20,2,
,Snead,8,0,1,0,7,33,10,17,6,
,Somerville,0,0,0,0,0,9,1,7,1,
,Southside,7,1,0,0,6,143,10,128,5,
,Spanish Fort,13,0,0,2,11,367,28,338,1,
,Springville,8,0,0,1,7,114,22,91,1,0
,Steele,0,0,0,0,0,7,0,7,0,
,St. Florian,4,0,0,0,4,18,3,12,3,
,Sulligent,4,0,1,0,3,44,5,34,5,
,Sumiton,7,0,1,1,5,207,13,182,12,
,Summerdale,6,0,1,0,5,73,9,63,1,
,Sylacauga,46,1,8,10,27,669,154,494,21,1
,Sylvania,1,0,0,0,1,29,3,26,0,
,Talladega,91,0,3,9,79,"1,138",361,707,70,
,Tarrant,61,3,4,17,37,621,227,355,39,1
,Taylor,1,0,0,0,1,9,2,7,0,
,Thomasville,43,1,3,1,38,189,58,119,12,
,Thorsby,3,0,0,0,3,13,0,12,1,
,Town Creek,6,0,0,0,6,29,3,24,2,
,Trafford,0,0,0,0,0,0,0,0,0,
,Trinity,4,0,0,0,4,55,2,49,4,
,Troy3,,0,10,15,,,337,625,,3
,Tuscaloosa,449,7,31,190,221,"4,828","1,462","3,188",178,6
,Tuscumbia3,,0,3,6,,,54,276,,
,Valley,42,0,1,4,37,505,25,459,21,
,Valley Head,2,0,0,0,2,5,2,3,0,
,Vance,8,0,0,0,8,43,18,22,3,0
,Vernon,2,0,1,0,1,21,1,19,1,
,Vestavia Hills,18,1,2,5,10,531,48,444,39,
,Warrior,0,0,0,0,0,31,5,24,2,
,Weaver,7,0,1,0,6,72,23,48,1,0
,Webb,0,0,0,0,0,5,0,5,0,
,Wedowee,10,0,0,0,10,19,0,18,1,
,West Blocton,0,0,0,0,0,3,1,1,1,
,Winfield2,13,1,3,0,9,,,119,9,
,Woodstock,14,0,0,1,13,123,10,102,11,
,York,14,0,0,0,14,79,22,53,4,
ALASKA,Anchorage,"2,432",13,264,454,"1,701","10,214","1,223","8,178",813,86
,Bethel,63,2,14,6,41,149,44,73,32,7
,Bristol Bay Borough,1,0,0,0,1,52,9,23,20,0
,Cordova,5,0,0,0,5,6,0,5,1,0
,Craig,11,0,0,0,11,14,3,10,1,0
,Dillingham,55,0,31,0,24,69,5,56,8,0
,Fairbanks5,284,0,70,33,181,"1,367",149,"1,117",101,4
,Haines,7,0,0,0,7,21,3,17,1,0
,Homer,40,0,1,5,34,265,40,219,6,1
,Houston5,18,0,2,0,16,53,18,27,8,0
,Juneau5,133,1,20,23,89,"1,523",181,"1,279",63,6
,Kenai,30,0,7,3,20,279,37,226,16,0
,Ketchikan,29,0,8,3,18,405,31,350,24,1
,Kodiak5,80,0,8,5,67,209,22,168,19,6
,Kotzebue,27,0,10,4,13,103,22,52,29,3
,Nome,17,0,8,0,9,79,14,55,10,2
,North Pole,10,0,2,1,7,97,12,78,7,1
,North Slope Borough,69,0,10,0,59,109,36,51,22,1
,Palmer,34,0,3,3,28,207,25,170,12,4
,Petersburg,12,0,0,0,12,74,11,62,1,1
,Seward,3,0,0,0,3,102,10,91,1,0
,Sitka,33,0,3,2,28,222,19,182,21,1
,Skagway,2,0,0,0,2,27,5,21,1,0
,Soldotna,20,0,0,2,18,249,26,217,6,0
,St. Paul,6,0,0,0,6,1,0,1,0,0
,Unalaska,9,0,2,0,7,87,16,57,14,0
,Valdez,20,0,2,0,18,119,14,99,6,2
,Wasilla6,,0,0,8,,326,32,263,31,3
,Wrangell,0,0,0,0,0,43,7,36,0,0
ARIZONA,Apache Junction,108,3,15,14,76,"1,043",266,697,80,3
,Avondale,199,0,18,78,103,"3,732",802,"2,559",371,
,Buckeye,43,1,0,13,29,"1,245",344,815,86,11
,Bullhead City,59,3,0,17,39,"1,540",336,"1,107",97,6
,Camp Verde,18,0,0,1,17,240,60,166,14,2
,Casa Grande,250,1,6,52,191,"2,847",599,"2,075",173,12
,Chandler,691,6,61,195,429,"7,516","1,373","5,766",377,50
,Chino Valley,48,0,4,0,44,220,44,165,11,2
,Clarkdale,11,0,0,0,11,82,52,27,3,0
,Clifton,12,0,0,0,12,27,12,13,2,0
,Colorado City,4,0,0,0,4,25,4,19,2,0
,Coolidge,80,0,8,10,62,564,133,401,30,7
,Cottonwood,58,0,2,3,53,376,51,318,7,3
,Eagar,11,0,0,2,9,125,39,83,3,0
,El Mirage,83,1,9,25,48,846,225,540,81,6
,Eloy,88,4,3,8,73,675,270,341,64,9
,Flagstaff,267,5,37,49,176,"2,955",226,"2,666",63,21
,Florence,39,0,1,1,37,247,106,126,15,4
,Fredonia,2,0,0,0,2,11,6,4,1,1
,Gilbert,205,5,26,61,113,"4,080",791,"3,135",154,38
,Glendale,963,12,46,385,520,"13,529","2,264","9,936","1,329",
,Globe,38,0,2,2,34,285,77,203,5,2
,Goodyear,134,0,11,26,97,"1,991",883,907,201,11
,Holbrook,62,0,0,1,61,333,68,250,15,3
,Huachuca City,6,0,0,0,6,21,7,10,4,0
,Jerome,2,0,0,0,2,27,3,23,1,0
,Kingman,83,1,15,22,45,"1,574",358,"1,142",74,2
,Mammoth,2,0,0,1,1,40,19,19,2,0
,Marana,28,0,3,12,13,"1,095",125,900,70,3
,Mesa,"1,790",15,124,511,"1,140","14,876","2,711","11,158","1,007",59
,Miami,24,0,0,3,21,66,36,28,2,14
,Nogales,51,0,0,5,46,766,114,556,96,0
,Oro Valley,30,0,4,10,16,774,94,654,26,4
,Page,118,0,1,3,114,428,43,368,17,1
,Paradise Valley,11,0,0,4,7,279,172,99,8,0
,Parker,5,0,0,0,5,124,28,89,7,2
,Payson,122,0,3,3,116,405,89,302,14,1
,Peoria,282,6,38,66,172,"4,630",867,"3,380",383,14
,Phoenix,"8,002",117,522,"3,250","4,113","61,362","15,626","38,012","7,724",320
,Pinetop-Lakeside,56,1,0,7,48,231,65,164,2,1
,Prescott,135,0,11,13,111,"1,251",221,979,51,8
,Prescott Valley,109,1,8,4,96,670,105,552,13,3
,Quartzsite,8,0,0,0,8,89,7,69,13,0
,Sahuarita,14,0,3,0,11,369,55,292,22,7
,Scottsdale,353,4,33,100,216,"6,563","1,281","5,014",268,12
,Sedona,17,0,6,0,11,210,50,155,5,1
,Sierra Vista,121,1,21,13,86,"1,395",212,"1,129",54,7
,Snowflake-Taylor,47,2,0,0,45,192,66,110,16,2
,Somerton,5,0,0,3,2,225,41,160,24,1
,South Tucson,149,0,4,51,94,854,83,725,46,1
,Springerville,11,0,3,0,8,61,13,47,1,0
,Surprise,106,0,13,35,58,"1,977",440,"1,438",99,27
,Tempe,779,11,43,268,457,"8,472","1,416","6,412",644,42
,Thatcher,3,0,0,0,3,126,38,88,0,0
,Tolleson,49,0,2,16,31,723,204,471,48,2
,Tombstone,12,0,1,1,10,70,6,61,3,0
,Tucson6,"3,331",51,158,"1,088","2,034",,"5,002",,"3,433",153
,Wellton,3,0,2,0,1,13,9,4,0,0
,Willcox,9,0,2,2,5,216,57,151,8,5
,Williams,11,0,2,1,8,137,21,116,0,0
,Youngtown,18,0,1,3,14,84,33,39,12,2
,Yuma,550,3,24,56,467,"3,060",815,"2,058",187,27
ARKANSAS,Alma,9,0,1,3,5,273,85,183,5,0
,Arkadelphia,50,1,10,5,34,387,168,206,13,2
,Atkins,0,0,0,0,0,51,18,28,5,0
,Bald Knob,9,0,2,1,6,131,43,82,6,1
,Barling,20,0,0,0,20,51,7,37,7,0
,Beebe,56,0,6,2,48,302,114,177,11,1
,Bella Vista,18,0,2,0,16,155,74,77,4,0
,Benton,145,1,8,32,104,"1,359",260,"1,036",63,3
,Bentonville,63,0,15,4,44,705,142,537,26,4
,Berryville,12,0,0,2,10,222,61,157,4,1
,Blytheville,175,10,14,35,116,"1,192",454,664,74,8
,Booneville,21,0,2,0,19,136,51,82,3,2
,Bradford,0,0,0,0,0,22,9,11,2,2
,Bryant,9,0,4,5,0,742,191,520,31,1
,Bull Shoals,1,0,1,0,0,31,10,21,0,0
,Cabot,72,0,12,8,52,"1,048",493,535,20,1
,Camden,83,2,4,23,54,580,170,393,17,5
,Carlisle,4,0,0,0,4,37,15,21,1,0
,Cave City,2,0,0,0,2,29,4,25,0,1
,Cave Springs,0,0,0,0,0,20,9,11,0,0
,Centerton,18,0,4,0,14,100,53,46,1,0
,Charleston,1,0,0,0,1,11,3,7,1,0
,Cherokee Village,4,0,1,0,3,121,29,89,3,3
,Clarksville,28,0,5,1,22,404,66,328,10,0
,Clinton,2,0,0,0,2,57,7,45,5,0
,Conway,257,4,21,49,183,"2,603",444,"2,068",91,9
,Crossett,26,1,0,4,21,265,98,161,6,1
,Danville,5,0,2,0,3,7,4,3,0,0
,Dardanelle,26,0,2,0,24,225,108,108,9,3
,Decatur,4,0,1,0,3,34,23,11,0,0
,De Queen,29,0,6,4,19,179,63,105,11,1
,De Witt,13,0,1,4,8,146,57,84,5,1
,Dumas,18,0,2,0,16,115,25,84,6,1
,Earle,14,0,1,6,7,137,59,78,0,1
,El Dorado,157,1,3,39,114,"1,123",526,559,38,2
,Eureka Springs,7,3,1,0,3,128,41,85,2,0
,Fairfield Bay,2,0,0,0,2,31,17,13,1,0
,Farmington,12,0,2,1,9,126,35,89,2,1
,Fayetteville,328,1,55,37,235,"2,746",465,"2,168",113,9
,Flippin,2,0,0,0,2,33,13,20,0,0
,Fordyce,25,0,1,2,22,111,40,63,8,0
,Forrest City,101,2,5,31,63,"1,188",236,921,31,4
,Fort Smith,667,6,74,124,463,"4,815","1,073","3,530",212,14
,Gassville,2,0,0,0,2,29,8,21,0,0
,Gentry,6,0,3,1,2,19,6,13,0,1
,Glenwood,10,0,2,1,7,36,21,15,0,0
,Gosnell,21,0,1,1,19,91,45,44,2,0
,Gravette,5,0,1,0,4,29,17,12,0,0
,Greenbrier,0,0,0,0,0,1,0,1,0,0
,Green Forest,8,0,2,0,6,90,61,26,3,0
,Greenland,3,0,0,0,3,17,7,10,0,0
,Greenwood,20,0,2,1,17,115,48,64,3,1
,Gurdon,14,0,1,2,11,60,24,34,2,0
,Hamburg,28,0,0,3,25,40,15,25,0,1
,Hampton,3,0,1,1,1,20,8,11,1,0
,Hardy,1,0,0,0,1,65,15,46,4,0
,Harrison,86,0,12,3,71,576,180,378,18,1
,Hazen,3,0,0,1,2,24,9,15,0,0
,Heber Springs,15,0,4,0,11,334,104,224,6,0
,Helena-West Helena,93,0,6,20,67,739,422,294,23,7
,Highland,0,0,0,0,0,9,2,7,0,0
,Hope,106,0,4,8,94,649,194,427,28,2
,Horseshoe Bend,3,0,3,0,0,18,7,11,0,0
,Hot Springs,402,7,22,72,301,"3,124",793,"2,161",170,4
,Jacksonville,190,1,27,30,132,"1,333",364,903,66,5
,Jonesboro,295,2,22,56,215,"2,901","1,213","1,619",69,9
,Judsonia,3,0,0,0,3,38,18,18,2,0
,Kensett,3,0,0,0,3,25,7,13,5,1
,Lakeview,0,0,0,0,0,9,2,7,0,0
,Lake Village,62,0,1,1,60,74,31,42,1,0
,Lepanto,1,0,0,0,1,30,13,17,0,0
,Little Flock,4,0,4,0,0,6,0,5,1,0
,Little Rock,"2,938",25,149,859,"1,905","14,796","4,241","9,440","1,115",100
,Lonoke,35,0,2,2,31,188,42,145,1,1
,Lowell,10,0,3,0,7,135,49,77,9,0
,Luxora,4,0,0,1,3,9,5,4,0,0
,Magnolia,37,0,5,7,25,427,229,182,16,2
,Marianna,32,0,0,3,29,174,70,104,0,4
,Marion,60,0,3,13,44,409,155,235,19,1
,Marked Tree,1,0,0,1,0,68,4,64,0,1
,Marmaduke,1,0,0,0,1,35,4,31,0,0
,Maumelle,19,0,1,1,17,307,190,106,11,0
,McCrory,0,0,0,0,0,18,14,4,0,0
,McGehee,95,1,4,1,89,175,70,94,11,1
,Mena,13,0,2,1,10,288,105,178,5,1
,Mineral Springs,11,0,1,1,9,22,15,7,0,0
,Monette,0,0,0,0,0,16,7,9,0,0
,Monticello,54,0,7,8,39,360,125,220,15,0
,Morrilton,24,0,4,2,18,444,62,369,13,1
,Mountain Home,3,0,0,0,3,406,31,368,7,1
,Mountain View,11,0,1,0,10,57,15,41,1,0
,Murfreesboro,2,0,1,0,1,15,4,11,0,0
,Nashville,12,0,5,0,7,250,66,182,2,0
,Newport,72,1,9,5,57,458,124,320,14,0
,North Little Rock,562,6,14,184,358,"5,088","1,136","3,618",334,21
,Ola,2,0,0,0,2,7,6,1,0,0
,Osceola,144,0,11,10,123,383,110,255,18,5
,Ozark,20,0,3,0,17,119,25,90,4,1
,Paragould,86,0,15,8,63,"1,754",526,"1,164",64,5
,Paris,17,0,1,2,14,115,51,60,4,2
,Pea Ridge,8,0,2,0,6,35,17,17,1,0
,Piggott,11,0,0,3,8,93,65,27,1,0
,Pine Bluff,687,7,40,165,475,"3,748","1,371","2,074",303,38
,Plainview,1,0,0,0,1,15,6,9,0,0
,Plummerville,5,0,2,1,2,7,0,6,1,1
,Pocahontas,2,0,0,0,2,80,7,68,5,0
,Pottsville,12,0,1,0,11,39,22,16,1,0
,Prairie Grove,11,0,0,1,10,112,42,69,1,0
,Prescott,18,0,1,3,14,139,38,96,5,1
,Quitman,1,0,0,0,1,13,2,11,0,0
,Redfield,1,0,0,0,1,19,9,10,0,0
,Rogers3,219,2,50,11,156,,,"1,629",44,7
,Rose Bud,1,0,0,0,1,10,1,7,2,0
,Russellville,97,0,13,15,69,"1,242",273,887,82,11
,Salem,1,0,0,0,1,28,6,22,0,0
,Searcy,74,0,4,16,54,"1,216",413,771,32,5
,Sheridan,19,1,4,0,14,125,30,92,3,2
,Sherwood,130,1,6,6,117,965,205,708,52,6
,Siloam Springs,31,0,5,0,26,323,100,205,18,4
,Springdale,325,0,68,18,239,"2,129",373,"1,631",125,7
,Stamps,6,0,0,1,5,48,24,24,0,0
,Stuttgart,47,3,2,8,34,480,166,298,16,3
,Texarkana,298,0,19,51,228,"1,935",425,"1,389",121,3
,Trumann,31,0,3,3,25,452,121,325,6,1
,Van Buren,74,0,9,8,57,654,167,479,8,1
,Vilonia,10,0,2,1,7,63,18,43,2,0
,Waldron,9,0,1,0,8,172,84,83,5,1
,Ward,20,0,4,0,16,128,38,88,2,0
,Warren,26,0,5,2,19,135,90,36,9,0
,West Fork,7,0,1,0,6,40,21,17,2,0
,West Memphis,685,6,26,124,529,"2,271","1,049","1,075",147,17
,White Hall,6,0,1,1,4,89,4,80,5,0
,Wynne,29,0,5,9,15,297,125,167,5,1
CALIFORNIA,Adelanto,242,4,9,39,190,726,359,273,94,13
,Agoura Hills,18,0,2,1,15,240,59,173,8,0
,Alameda,173,1,15,74,83,"1,964",389,"1,360",215,10
,Albany,37,0,5,24,8,582,95,392,95,4
,Alhambra,185,3,8,82,92,"2,075",345,"1,460",270,18
,Aliso Viejo,37,0,4,8,25,439,87,324,28,3
,Alturas,5,0,2,0,3,63,28,30,5,1
,American Canyon,38,0,2,20,16,515,100,375,40,1
,Anaheim,"1,161",7,88,492,574,"8,473","1,594","5,869","1,010",47
,Anderson,77,0,5,10,62,510,90,394,26,2
,Antioch,864,13,32,313,506,"3,096","1,087","1,049",960,36
,Apple Valley,188,2,22,58,106,"1,889",592,"1,107",190,14
,Arcadia,88,1,5,36,46,"1,737",364,"1,267",106,3
,Arcata,40,0,6,14,20,648,172,444,32,15
,Arroyo Grande,25,0,3,5,17,317,76,224,17,2
,Artesia,64,0,3,33,28,265,81,140,44,1
,Arvin,187,0,1,19,167,500,186,232,82,14
,Atascadero,79,0,10,8,61,620,152,435,33,5
,Atherton,21,0,3,4,14,136,28,107,1,0
,Atwater,114,4,6,23,81,"1,128",322,700,106,14
,Auburn,59,0,7,14,38,291,60,189,42,5
,Avalon,24,0,0,0,24,75,21,38,16,0
,Avenal,57,2,2,8,45,143,63,66,14,10
,Azusa,226,2,11,63,150,"1,136",276,731,129,1
,Bakersfield,"2,104",33,34,641,"1,396","15,197","4,235","8,507","2,455",103
