,Project_code,Unsuitable,Suitable,Bridge_classification,Crossing,Days_per_year_river_is_flooded,River_crossing_injuries_in_last_3_years,Cell_service_quality,4WD_Accessibility,Bridge_Type,Proposed_Bridge_Location(GPS)(Latitude),Proposed_Bridge_Location(GPS)(Longitude),Height_differential_between_banks,Estimated_span(m)
1388,1014491,0.6506200516688815,0.3493799483311186,Standard,timber,45.0,0.0,Good,Seasonally,Suspension,-2.206378,30.521405,1.3,31.4
1389,1014492,0.6450133026993804,0.35498669730061966,Standard,timber,80.0,0.0,Good,Seasonally,Suspension,-2.137525,30.459055,0.3,71.4
1390,1014493,0.6423716411940198,0.35762835880598015,unknown,unknown,46.0,0.0,unknown,Seasonally,unknown,-2.271583,30.334962,10.0,44.0
1391,1014494,0.6439540749689971,0.35604592503100285,Standard,timber,60.0,0.0,Good,Seasonally,Suspension,-2.267435,30.545003,0.2,62.4
1392,1014495,0.6428670612999313,0.3571329387000686,unknown,unknown,46.0,0.0,unknown,unknown,unknown,-2.256448,30.484267,10.0,44.0
1393,1014497,0.29581480659708753,0.7041851934029124,Standard,timber,90.0,0.0,unknown,unknown,Other,-1.9020028,30.12219,10.0,8.0
1394,1014498,0.09518120196252439,0.9048187980374757,Standard,timber,0.0,0.0,unknown,unknown,Other,-1.822718,30.146343,10.0,13.0
1395,1014499,0.09518120196252439,0.9048187980374757,Standard,timber,0.0,0.0,unknown,unknown,Other,-1.829462,30.158647,10.0,10.0
1396,1014500,0.8334537366245137,0.16654626337548634,Standard,culvert,0.0,0.0,unknown,unknown,Other,-2.000188,30.112183,10.0,6.0
1397,1014502,0.8334602066992131,0.1665397933007869,Standard,timber,0.0,0.0,unknown,unknown,Other,-2.012684,30.087223,10.0,5.0
1398,1014503,0.8334602066992131,0.1665397933007869,Standard,timber,0.0,0.0,unknown,unknown,Other,-2.01259,30.08668,10.0,11.0
1399,1014504,0.9969238512239293,0.0030761487760706044,Outside of current engineering scope,timber,0.0,0.0,Fair,Never,Other,-1.992257,30.085447,10.0,170.0
1400,1014505,0.8338653653435907,0.1661346346564092,Requires additional engineering,timber,0.0,0.0,Good,Never,Suspended,-1.998487,30.107728,10.0,42.0
1401,1014506,0.833584832041136,0.16641516795886396,Standard,timber,0.0,0.0,Good,Year Round,Suspended,-2.007747,30.079832,10.0,32.0
