,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
1013641,1013890,1013636,1013894,1007383,1013968,1013641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013652,1013652,1007384,1013637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013658,1013309,1013613,1014065,1013658,1007528,1007621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013662,1014140,1007493,1013995,1014154,1014144,1013977,1013974,1007659,1013993,1013978,1013263,1013973,1013975,1013662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017673,1017673,1013660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW127,1007544,1012833,1009311,1014318,1013020,1013012,1013013,1013690,1014320,1013014,1013002,1007401,1007575,RW127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007342,1014374,1014540,1014336,1013642,1013231,1014562,1007342,1013571,1013561,1013806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007347,1007347,1014448,1013731,1013751,1007617,1013023,1012984,1007536,1007437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013678,1007517,1013678,1013903,1007404,1014326,1013702,1013461,1013692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015693,1013384,1013286,1015693,1012957,1013583,1007507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007340,1010580,1012955,1012954,1009071,1014289,1007453,1013697,1007340,1013272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007387,1013862,1007578,1007387,1014263,1013697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007391,1013683,1013580,1013686,1013575,1013685,1013026,1013022,1007391,1013021,1013778,1013315,1013574,1013278,1013805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007412,1007509,1007412,1013874,1013921,1013912,1013364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007423,1012823,1013450,1007423,1013799,1007497,1013898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007424,1013626,1013625,1007680,1013290,1014074,1014159,1007897,1014122,1007424,1014121,1013274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007426,1014007,1014331,1014538,1007426,1007543,1013332,1014006,1010917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007439,1007439,1013374,1013366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007444,1014542,1013227,1007444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007453,1010580,1012955,1012954,1009071,1007453,1013697,1007340,1013272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007455,1014404,1014406,1007455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
