,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
1007416,1014485,1014464,1014479,1014487,1014422,1014377,1014435,1014486,1014382,1014554,1014484,1014481,1014423,1014421,1014300,1014381,1014561,1014483,1014509,1014408,1014490,1014495,1007415,1014430,1014482,1013711,1014384,1014429,1014555,1014352,1014427,1014425,1007629,1014556,1007417,1014470,1007414,1014462,1014368,1014473,1014388,1014383,1014385,1014367,1014369,1007622,1007416,1014433,1014424,1007532,1014492,1014493,1014494,1014469,1014465,,,,,,,
1007417,1014485,1014464,1014479,1014474,1014487,1014422,1014377,1014435,1014486,1014382,1014554,1014484,1014481,1014423,1014491,1014421,1014300,1014381,1014428,1014483,1014509,1014408,1014490,1014495,1014472,1007415,1014430,1014482,1013711,1014384,1014429,1014555,1014352,1013019,1014363,1007629,1014556,1007417,1014425,1007414,1014427,1014470,1014462,1014368,1014473,1014388,1014383,1014385,1014367,1014369,1007622,1007416,1014433,1014424,1007532,1014492,1014493,1014494,1014469,,,
1007419,1007419,1013554,1013811,1013922,1013920,1013919,1013219,1013923,1013540,1013221,1013415,1007542,1014323,1007354,1008002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007420,1009707,1014129,1013507,1007420,1013640,1013011,1013794,1013599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007422,1014541,1014349,1013693,1013834,1009313,1014031,1007422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007427,1007427,1013611,1014059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007428,1010578,1013714,1009296,1007344,1007428,1014050,1014273,1007389,1013897,1013558,1007425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007429,1011303,1014277,1014276,1011302,1011304,1007573,1014295,1012004,1013470,1011313,1011316,1011309,1013804,1012991,1007429,1007630,1022905,1013595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007430,1007433,1012545,1007430,1014306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007431,1012947,1013915,1007431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007432,1013498,1013494,1013831,1007598,1007432,1014040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007433,1007433,1012545,1007430,1014306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007437,1013763,1007347,1013731,1013751,1013023,1012984,1007536,1007437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007441,1007563,1014497,1013792,1012807,1007441,1014039,1014335,1007335,1007537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007449,1007449,1014312,1014378,1013830,1007603,1013835,1014357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007450,1007450,1013389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007451,1007451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007452,1007452,1013246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007454,1007458,1014405,1007366,1007364,1014403,1014402,1007454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007459,1014393,1014253,1010581,1014417,1009715,1007459,1007460,1009702,1014419,1009703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007460,1014393,1014253,1010581,1014417,1009715,1007459,1007460,1009702,1014419,1009703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007464,1012953,1007464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007468,1007378,1014331,1007377,1014336,1013787,1013761,1013231,1007468,1014319,1013510,1013806,1010579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007479,1007479,1007477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007480,1012948,1007480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007482,1013287,1007482,1014315,1013418,1013734,1013868,1013733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007483,1014120,1007483,1014450,1013578,1014063,1007350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007484,1014055,1014017,1013463,1014016,1014165,1012982,1013661,1007491,1013680,1007484,1013664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007485,1013487,1007561,1014032,1010941,1013546,1007485,1013846,1014062,1013675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007486,1007486,1007463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007487,1007487,1010411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007488,1013422,1013901,1007383,1012818,1007481,1013725,1014053,1007488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007489,1013813,1007489,1013480,1007390,1007499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007490,1013285,1007490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007493,1007493,1013995,1014154,1014144,1013977,1013974,1007659,1013993,1013263,1013975,1013662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007496,1013754,1010406,1014296,1013727,1013453,1007496,1013024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007498,1013687,1013504,1013502,1014322,1014124,1007498,1024587,1013795,1013331,1014594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007500,1013746,1013454,1013750,1013797,1013732,1013284,1012981,1010843,1013762,1014614,1014321,1013893,1013871,1007500,1013577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007502,1007481,1007503,1007502,1012818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007503,1007481,1007503,1007502,1012818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007505,1013419,1014106,1014155,1013424,1014107,1013970,1013420,1013414,1013966,1013423,1013281,1007505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007509,1007509,1007412,1013874,1013921,1013912,1013364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007517,1007517,1013678,1013903,1007404,1014326,1013702,1013461,1013692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007518,1014274,1007552,1014499,1013881,1007518,1013025,1013872,1013499,1007562,1014498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007520,1007590,1013218,1007520,1007555,1012986,1013718,1013703,1013387,1011310,1013748,1007539,1013220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007521,1014010,1013566,1007566,1013889,1013914,1007528,1007589,1007521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007523,1013465,1007565,1013553,1014563,1014607,1013006,1012830,1014334,1007571,1007523,1014332,1013722,1013877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007527,1013572,1014050,1014560,1013338,1011311,1014564,1007527,1007389,1013558,1013897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007531,1013673,1007540,1012549,1013603,1013669,1013009,1013253,1013015,1007549,1013677,1013483,1013273,1013614,1014316,1012834,1014116,1007572,1014275,1014083,1013736,1013008,1007531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007532,1014485,1014464,1014479,1014487,1014422,1014377,1014435,1014486,1014382,1014554,1014484,1014481,1014423,1014421,1014300,1014381,1014561,1014483,1014509,1014408,1014490,1014495,1007415,1014430,1014482,1013711,1014384,1014429,1014555,1014352,1014427,1014425,1007629,1014556,1007417,1014470,1007414,1014462,1014368,1014473,1014388,1014383,1014385,1014367,1014369,1007622,1007416,1014433,1014424,1007532,1014492,1014493,1014494,1014469,1014465,,,,,,,
1007534,1007535,1007534,1007582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007536,1013763,1007347,1014448,1013731,1013751,1007617,1013023,1012984,1007536,1007437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007537,1014304,1007563,1013792,1013569,1007565,1007441,1013005,1014039,1014335,1012830,1013457,1007537,1007571,1013877,1013722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007540,1013673,1012493,1013736,1007540,1013483,1012549,1013008,1013669,1007531,1007572,1013009,1014275,1013614,1013269,1014316,1013677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007541,1007544,1007559,1014311,1014375,1007541,1013672,1013690,1014159,1007897,1014122,1007575,1013274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007542,1007419,1013554,1013811,1013922,1013920,1013919,1013219,1013923,1013540,1013221,1013415,1007542,1014323,1007354,1008002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007543,1014007,1014538,1007426,1007543,1013332,1010917,1007601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007545,1014420,1009710,1014119,1014533,1014413,1014604,1013547,1010847,1014414,1007594,1014412,1014602,1007545,1013541,1014410,1013759,1014532,1014411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007546,1007560,1014115,1007568,1007546,1012819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007547,1013884,1014134,1014328,1013803,1013336,1013283,1013882,1007547,1013712,1014325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007549,1013673,1012549,1013603,1013669,1013276,1013253,1013015,1007549,1013677,1014338,1013483,1013273,1013614,1012834,1014116,1007572,1007530,1014083,1013736,1013008,1007531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007550,1014037,1014030,1007550,1013501,1009317,1007579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007551,1014338,1013321,1014158,1007551,1013472,1014272,1013548,1014309,1014330,1013670,1013667,1007360,1009329,1013840,1007558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007552,1014274,1007552,1014499,1013881,1007518,1013025,1013872,1013499,1007562,1014498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007553,1014314,1014346,1007553,1013885,1014333,1013275,1007473,1013339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007554,1014037,1013255,1014035,1014030,1007393,1009317,1007592,1007554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007555,1007590,1007520,1007555,1012986,1013718,1023609,1013703,1013387,1011310,1013748,1007539,1013220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007558,1014338,1013321,1014158,1007551,1013472,1014272,1013548,1014309,1014330,1013670,1013667,1007360,1009329,1013840,1007558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007559,1007544,1007559,1014311,1009311,1007541,1014375,1013672,1013690,1007897,1007575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007560,1007560,1014115,1007568,1007546,1012819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007561,1013487,1007561,1014032,1010941,1013546,1007485,1013846,1014062,1013675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007564,1013498,1012543,1007397,1013494,1007598,1007564,1012544,1014559,1009067,1007399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007565,1014304,1013465,1007565,1013005,1013569,1014563,1014039,1014607,1013006,1012830,1013457,1007537,1007571,1007523,1013722,1013877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007566,1014010,1013566,1007566,1013889,1013914,1007589,1007521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007568,1007560,1014115,1007568,1007546,1012819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007571,1014304,1013465,1007565,1013005,1013569,1014563,1014039,1014607,1013006,1012830,1013457,1007537,1007571,1007523,1013722,1013877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007573,1011303,1014277,1014276,1011302,1011304,1007573,1014295,1012004,1013470,1011313,1011316,1011309,1007607,1013804,1012991,1007429,1007630,1022905,1013595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007574,1013309,1014065,1013810,1013812,1007343,1013505,1014054,1013699,1007621,1007642,1007574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007575,1007544,1007559,1014311,1009311,1014375,1007541,1013672,1013690,1007897,1007575,RW127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007577,1007672,1013255,1007577,1007592,1013675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007578,1013862,1014032,1007578,1007387,1014263,1013846,1014062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007579,1014037,1014346,1014030,1013885,1007550,1013501,1009317,1014333,1007579,1013339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007583,1007325,1007583,1007349,1013790,1013793,1014347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007584,1013010,1013628,1009553,1013545,1013888,1013004,1009280,1013271,1007584,1014270,1010842,1013555,1013003,1014152,1013904,1013330,1013886,1013883,1014114,1014048,1014539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007589,1013613,1013566,1007566,1013889,1013914,1007528,1007589,1007521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007591,1013890,1007591,1007647,1013383,1013312,1007637,1013726,1014117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007592,1007672,1013255,1014035,1007393,1007577,1007592,1007554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007594,1014420,1014533,1014119,1014413,1010847,1013879,1007594,1013749,1014414,1007545,1014410,1014602,1014532,1014411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007595,1013488,1013976,1014142,1007357,1014108,1014156,1014139,1013994,1013632,1007595,1014166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007597,1007597,1014007,1012817,1011308,1007352,1012810,1009426,1013681,1012699,1013800,1013335,1007601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007598,1013498,1012543,1013494,1013831,1007598,1007564,1012544,1007432,1014559,1009067,1014040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007601,1007597,1014007,1012817,1011308,1007543,1012810,1007601,1013681,1013800,1013335,1010917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007603,1007449,1014312,1014380,1014468,1007603,1013835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007605,1014464,1014479,1014046,1013484,1013550,1013876,1014481,1014561,1014340,1014482,1013711,1014376,1014258,1014467,1013755,1014462,1014473,1014476,1007605,1007332,1014285,1014465,1014466,1014475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007606,1010428,1007604,1014353,1014348,1014354,1014045,1013780,1014041,1013320,1014366,1014426,1014239,1014360,1014043,1014364,1014358,1014362,1007606,1014058,1014355,1013779,1007600,1014044,1014361,1014370,1014570,1014356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007607,1013224,1013808,1007573,1013470,1013650,1011316,1007607,1013353,1012991,1007630,1022905,1013595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007612,1007612,1013491,1012994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007615,1014070,1007615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007621,1013309,1014065,1013658,1013810,1013812,1007343,1013505,1014054,1013699,1007621,1007642,1007574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007622,1014485,1014464,1014479,1014474,1014487,1014422,1014377,1014435,1014486,1014382,1014554,1014484,1014481,1014423,1014491,1014421,1014300,1014381,1014428,1014483,1014509,1014408,1014490,1014495,1014472,1007415,1014430,1014482,1013711,1014384,1014429,1014555,1014352,1013019,1014425,1007629,1014556,1007417,1014427,1007414,1014470,1014462,1014368,1014473,1014388,1014383,1014385,1014367,1014369,1007622,1007416,1014433,1014424,1007532,1014492,1014493,1014494,1014469,,,,
1007626,1007626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007628,1007628,1007392,1014445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007631,1007631,1013240,1013235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007633,1007633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007645,1007645,1014067,1013453,1013728,1013024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007652,1013746,1010405,1011331,1014438,1013732,1007652,1013576,1014614,1014321,1013226,1007653,1013577,1007345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007653,1013746,1010405,1011331,1014438,1013732,1007652,1013576,1014614,1014321,1013226,1007653,1013577,1007345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007654,1014011,1012998,1013979,1007654,1014018,1013982,1014012,1013988,1013983,1014015,1007666,1013984,1013918,1007663,1014096,1013917,1014131,1013987,1013631,1013925,1014013,1012978,1007670,1013985,1007664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007657,1014169,1012480,1007660,1014090,1014100,1014008,1007657,1014168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007658,1007658,1013567,1014052,1007636,1013475,1013772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007659,1014140,1007493,1013995,1014154,1014144,1013977,1013974,1007659,1013993,1013978,1013263,1013973,1013975,1013662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007661,1012480,1013311,1014167,1014102,1014087,1014099,1014008,1007660,1014098,1014091,1014168,1014088,1014094,1007661,1013474,1014100,1014169,1012983,1013992,1014095,1007662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007662,1012480,1013311,1014167,1014102,1014087,1014099,1014008,1007660,1014098,1014091,1014168,1014088,1014094,1007661,1013474,1014100,1014169,1012983,1013992,1014095,1007662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007663,1014011,1012998,1013979,1007654,1014018,1013982,1014012,1013988,1013983,1014015,1007666,1013984,1013918,1007663,1014096,1013917,1014131,1013987,1013631,1013925,1014013,1012978,1007670,1013985,1007664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007664,1014014,1013981,1012998,1013979,1007654,1013980,1014018,1013982,1014012,1013988,1013983,1014015,1007666,1013918,1007663,1014096,1013917,1014131,1013987,1013631,1013925,1014013,1012978,1013926,1013924,1007670,1013985,1007664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007665,1013643,1007678,1012989,1013630,1013644,1012700,1007674,1007548,1007665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007666,1014014,1013981,1012998,1013979,1007654,1013980,1014018,1013982,1014012,1013988,1013983,1014015,1007666,1013918,1007663,1014096,1013917,1014131,1013987,1013631,1013925,1014013,1012978,1013926,1013924,1007670,1013985,1007664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007674,1007678,1012989,1013630,1012700,1007674,1014279,1007548,1007665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007678,1013643,1013568,1007678,1012989,1014603,1013630,1011306,1013644,1012700,1007674,1007548,1007665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007679,1007679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007680,1013626,1013625,1007680,1013290,1014074,1014159,1014345,1014122,1007424,1014121,1013274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007897,1007559,1014311,1014375,1007541,1013672,1013690,1014074,1014159,1007897,1014122,1007575,1007424,1013274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009071,1010580,1013747,1012955,1012954,1009071,1014289,1007453,1007340,1013272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009329,1014338,1013321,1014158,1007551,1013472,1014272,1013548,1014309,1014330,1013670,1013840,1013276,1007360,1009329,1013667,1007558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009553,1013010,1013628,1012550,1009553,1013545,1013888,1013004,1013271,1007584,1014270,1010842,1013555,1013003,1012831,1014152,1013904,1013330,1013886,1013883,1014114,1014048,1014539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009554,1013729,1013764,1007398,1010404,1014071,1013684,1009554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009702,1013709,1014393,1009713,1014253,1014246,1014417,1010577,1007372,1007459,1014419,1007460,1009702,1009711,1009703,1009716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009703,1013709,1014393,1009713,1014253,1014246,1014417,1010577,1007372,1007459,1014419,1007460,1009702,1009711,1009703,1009716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009704,1009704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009705,1014391,1014415,1009705,1014387,1014397,1014568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009706,1009712,1009706,1011330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009707,1009707,1014129,1013507,1007420,1013334,1013640,1013011,1013794,1013254,1013599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009710,1014420,1009710,1014119,1013629,1014413,1014533,1014604,1013547,1010847,1014414,1014602,1014412,1007545,1013541,1014410,1013759,1014532,1014411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009711,1013709,1014393,1014392,1009713,1014416,1014253,1014396,1014246,1010577,1007372,1014245,1014394,1009702,1014792,1009711,1009703,1009716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009712,1009712,1009706,1011330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009713,1013709,1014393,1014392,1009713,1014416,1014253,1014396,1014246,1014417,1010577,1007372,1014245,1014394,1009702,1014792,1009711,1009703,1009716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009715,1014389,1010575,1010573,1010581,1014417,1009714,1009715,1007459,1007460,1014419,1010572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009716,1013709,1014393,1014392,1009713,1014416,1014253,1014396,1014246,1010577,1007372,1014245,1014394,1009702,1014792,1009711,1014395,1009703,1009716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
